Description,Unit,Cost Qty,Cost USD/un,Cost USD,Selling Qty,Selling USD/un,"Selling USD,"
Special Structure,kg,162695.45,1.944651131,316385.8909,162695.45,2.160723479,"351539.878764953,"
Revamp Structure,kg,362307.2,1.8819818,681855.5564,362307.2,2.091090889,"757617.284907709,"
