Description,Unit,Cost Qty,Cost USD/un,Cost USD,Selling Qty,Selling USD/un,"Selling USD,"
Handrail,M,4389.246,94.60895225,415261.9652,4389.246,105.1210581,"461402.183576616,"
Ladder,M,1161.828,144.2495444,167593.1596,1161.828,160.2772715,"186214.621828086,"
