Description,Unit,Cost Qty,Cost USD/un,Cost USD,Selling Qty,Selling USD/un,"Selling USD,"
Surface prepn-Sa2.5,M2,10,2.08,10807.9504,5196.13,2.311111111,"12008.8337777778,"
Primer-Zinrich epoxy,M2,20,4.487365079,23147.4894,5158.37,4.985961199,"25719.4326716049,"
